5.5	2638.9	41.7	5.5	4542.4	42.5	8.2	1449.5	42.0	7.8	1915.7	42.7	11.3	1590.9	42.7	10.6	857.5	41.6
5.7	2597.4	41.1	5.8	4512.2	40.7	8.8	1440.7	41.1	8.6	1870.3	41.3	12.1	1556.8	41.6	11.5	844.1	40.4
6.1	2604.4	40.3	5.6	4547.3	40.5	9.7	1444.6	40.6	8.7	1868.9	39.5	12.6	1546.4	41.0	11.9	842.5	39.4
5.9	2624.8	40.5	5.6	4589.5	40.6	9.2	1447.9	40.4	8.4	1894.8	41.2	11.8	1547.3	41.7	12.0	845.7	40.4
5.6	2653.5	40.7	5.6	4585.4	40.5	8.6	1462.5	40.6	7.7	1912.8	41.0	11.9	1534.1	41.0	11.8	846.9	40.2
5.7	2666.4	40.7	5.8	4592.8	40.6	8.6	1465.8	41.0	7.3	1932.9	41.4	12.1	1533.8	41.4	12.2	850.0	40.2
6.6	2678.2	41.1	6.3	4583.5	41.0	9.9	1467.5	41.2	8.4	1931.3	41.3	13.6	1518.3	41.4	13.8	847.6	40.5
6.4	2667.2	40.3	6.2	4521.6	40.5	9.3	1471.3	41.0	7.9	1925.1	41.0	12.9	1490.9	41.7	12.7	838.5	39.3
5.8	2685.7	41.1	5.9	4543.2	40.6	9.1	1464.5	41.1	7.6	1945.2	41.5	12.6	1491.2	41.8	12.2	834.7	40.2
6.0	2703.3	41.5	6.4	4600.3	40.8	9.1	1465.0	41.6	7.6	1963.1	41.3	12.8	1503.8	42.5	12.2	858.2	40.9
5.9	2720.4	41.0	6.1	4650.5	40.7	9.1	1475.7	41.0	7.5	1965.6	41.3	12.6	1502.2	42.1	11.9	858.9	40.4
5.6	2728.0	41.2	6.0	4707.1	41.2	9.1	1477.0	41.1	7.6	1969.9	41.6	12.5	1499.0	42.5	11.7	856.7	40.1
5.2	2739.5	41.6	5.2	4759.5	42.1	8.5	1477.4	41.9	7.1	1977.9	42.1	12.2	1498.6	42.6	11.1	854.8	40.8
5.9	2696.3	41.6	5.9	4727.3	41.0	9.1	1464.6	41.4	8.3	1937.0	41.5	13.4	1460.6	41.2	12.3	842.3	40.0
5.9	2708.2	41.2	5.5	4771.7	40.9	9.2	1467.9	41.3	8.0	1944.7	41.7	12.5	1459.4	41.7	11.7	844.1	40.1
5.8	2725.5	41.0	5.5	4822.3	40.7	8.3	1473.2	40.9	7.6	1967.1	41.3	12.1	1464.9	41.8	11.1	850.0	39.9
5.1	2745.4	40.3	5.2	4831.2	40.5	7.3	1497.7	40.8	6.8	1987.7	40.5	11.2	1477.8	41.3	10.2	859.9	39.4
5.0	2767.7	41.7	5.3	4836.5	40.8	7.4	1505.0	41.2	6.5	2009.9	41.4	11.5	1486.9	41.7	10.7	865.4	39.9
5.8	2784.9	42.3	5.6	4844.1	41.1	7.9	1507.6	41.6	7.1	2021.4	41.7	12.6	1484.9	41.5	11.7	860.4	40.2
5.8	2785.6	42.1	5.7	4788.3	40.2	7.4	1515.6	41.3	6.7	2010.7	41.2	12.0	1475.6	41.1	10.6	854.6	39.9
5.6	2800.0	41.6	5.5	4790.2	40.3	7.5	1517.5	41.5	6.4	2024.7	41.6	11.7	1477.2	41.4	10.4	857.6	40.4
5.6	2822.7	41.2	5.6	4863.6	40.0	7.2	1527.8	41.9	6.1	2049.2	40.8	11.4	1493.5	41.8	9.8	880.4	40.7
5.6	2836.4	42.4	5.5	4915.7	40.4	7.0	1535.7	41.8	6.0	2055.5	41.9	11.3	1504.7	42.3	9.3	883.8	40.7
5.2	2846.8	41.8	5.3	4965.9	41.3	6.9	1538.1	41.7	6.1	2061.1	42.3	11.0	1507.0	42.3	9.0	885.1	40.8
5.2	2864.4	42.4	4.9	5020.4	42.0	6.6	1541.8	41.7	5.7	2071.2	43.0	10.9	1510.3	42.8	8.4	889.6	41.3
5.9	2807.7	41.3	5.4	4948.8	40.8	7.3	1519.2	41.5	6.8	2010.8	42.5	12.1	1475.3	42.5	9.3	871.2	40.3
5.8	2819.1	41.5	5.1	5008.4	40.6	7.5	1530.0	40.9	6.6	2026.3	41.1	11.2	1482.6	42.1	8.8	875.2	39.5
5.7	2844.6	41.3	5.0	5061.4	40.5	6.6	1540.1	41.1	6.3	2052.6	41.9	10.7	1495.5	42.7	8.2	882.4	40.1
5.4	2857.6	41.3	5.0	5044.6	40.6	6.2	1548.6	41.1	5.5	2075.1	41.6	10.0	1508.0	42.7	7.3	892.2	39.9
5.5	2870.0	41.1	5.1	5049.1	40.7	6.4	1555.7	41.2	5.4	2092.1	41.4	10.5	1518.2	41.9	8.4	897.2	40.0
5.8	2890.7	41.5	5.3	5057.3	40.9	7.1	1572.5	41.6	6.1	2106.7	41.9	11.2	1521.3	42.8	9.6	897.4	40.7
5.7	2880.9	41.4	5.4	4979.4	39.8	7.0	1569.5	40.9	6.0	2097.5	41.0	10.9	1507.0	42.6	9.0	890.6	40.0
5.6	2886.0	41.3	5.5	4988.9	40.5	7.3	1552.0	41.6	5.8	2107.9	41.2	10.7	1510.8	42.3	8.8	889.8	40.4
5.6	2901.9	41.4	5.7	5086.0	40.3	7.0	1567.4	41.7	5.6	2129.6	41.3	10.2	1526.4	42.1	9.1	909.8	40.1
5.3	2901.7	41.5	5.4	5121.6	40.5	6.8	1572.0	41.6	5.3	2126.3	41.3	9.7	1530.4	42.9	8.8	911.3	40.7
5.0	2920.4	41.6	5.3	5209.2	40.8	7.0	1596.1	41.6	5.5	2143.3	41.6	9.4	1529.4	43.2	8.9	922.3	40.9
5.0	2930.1	42.1	5.0	5244.3	42.0	6.8	1581.3	41.7	5.3	2136.8	42.4	9.4	1534.3	42.4	8.5	914.7	41.5
5.5	2880.6	41.0	5.7	5166.9	40.8	7.5	1564.4	41.3	6.3	2095.6	40.8	10.6	1492.6	42.3	9.7	898.4	40.7
5.4	2895.2	40.7	5.3	5226.5	41.0	7.0	1573.2	40.9	5.6	2105.2	40.8	9.2	1501.6	41.9	8.5	901.2	39.7
5.2	2905.7	40.8	5.0	5279.3	40.7	6.3	1585.4	41.2	5.4	2130.8	41.1	8.3	1513.7	42.3	8.1	909.7	40.1
5.2	2906.1	40.8	5.5	5246.5	40.6	6.2	1593.0	41.4	5.0	2153.8	40.8	7.9	1536.1	42.0	8.0	918.0	39.7
5.1	2927.9	40.5	5.6	5256.2	40.5	6.1	1603.3	41.2	4.6	2171.5	40.8	7.7	1547.9	42.7	8.2	924.0	39.7
6.0	2947.9	41.2	6.1	5267.4	40.8	7.4	1602.8	41.2	5.6	2185.0	41.5	8.9	1554.8	42.5	9.2	926.0	40.2
5.6	2939.3	41.0	6.0	5171.3	40.1	7.0	1597.7	40.6	5.3	2163.2	40.7	8.0	1533.3	42.1	7.8	915.2	39.1
5.3	2953.3	41.3	5.9	5190.4	40.6	7.0	1608.2	41.2	5.2	2187.6	41.1	7.2	1538.5	42.8	7.6	912.8	40.1
5.3	2972.7	41.5	6.1	5272.6	41.0	6.5	1617.0	41.5	5.0	2212.0	41.5	6.6	1552.7	43.3	7.6	930.3	40.3
5.2	2974.5	41.3	5.9	5286.6	41.0	6.2	1619.3	41.4	4.8	2200.2	40.9	6.0	1557.4	43.4	7.3	930.4	39.9
5.0	2985.7	41.2	5.8	5352.5	41.6	6.3	1625.5	41.1	5.1	2201.2	40.0	5.8	1564.0	42.7	7.4	933.3	39.7
4.7	3004.2	42.1	5.5	5414.2	42.2	5.9	1625.1	41.5	4.8	2200.5	39.8	5.3	1568.9	43.6	7.1	932.4	40.7
5.3	2938.9	41.1	6.1	5323.7	41.2	6.5	1606.0	41.1	5.8	2144.0	38.9	6.4	1541.4	43.3	8.4	916.5	39.4
5.2	2951.1	40.3	5.8	5382.0	41.1	6.9	1608.0	40.8	5.6	2154.3	37.7	5.3	1552.2	42.2	8.0	919.7	39.6
4.9	2980.0	40.3	5.5	5437.0	40.9	6.1	1615.3	40.7	5.3	2175.4	38.1	5.0	1565.8	42.4	7.2	928.6	39.2
4.8	2979.7	39.7	5.9	5407.7	39.8	5.9	1635.3	40.3	5.2	2192.2	37.2	4.8	1579.2	41.9	7.4	935.8	38.1
4.8	3000.0	40.8	5.9	5419.4	40.7	5.8	1646.0	40.9	4.9	2209.7	38.4	4.9	1598.1	43.0	7.3	943.3	39.9
5.5	3024.6	41.3	6.4	5411.3	40.9	6.5	1647.8	41.3	5.6	2215.7	38.9	6.5	1598.4	43.1	8.2	941.9	39.9
5.5	2999.0	41.3	6.4	5293.1	39.9	6.4	1638.9	40.7	5.5	2184.4	39.0	6.3	1587.0	42.3	7.6	931.4	39.0
5.3	3010.7	41.2	6.7	5300.5	40.4	6.7	1632.8	41.4	5.6	2206.4	38.9	6.4	1592.3	42.5	7.7	930.8	39.8
5.4	3012.8	41.2	6.8	5351.9	40.5	6.5	1646.8	41.4	5.5	2219.5	39.1	6.3	1603.7	43.6	7.2	948.1	39.9
5.1	2994.8	40.5	6.4	5362.5	40.2	6.2	1648.7	41.2	5.4	2207.1	38.9	6.0	1609.9	43.2	7.3	948.2	39.1
5.2	3004.6	40.9	6.7	5403.0	41.3	6.3	1652.7	40.9	5.7	2207.1	38.8	6.1	1612.6	43.6	7.8	948.5	39.1
5.2	3005.2	41.8	6.5	5424.9	41.7	6.2	1651.0	41.3	5.7	2202.7	39.5	6.3	1611.4	43.3	8.1	945.5	39.5
